"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"64","F1096",-36.0574759873557,-8.0104364330649,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"65","F1097",-36.0574910426014,-8.01038674771834,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"66","F1098",-36.0575014162031,-8.01035303132785,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"67","F1099",-36.0575104187332,-8.01032209538689,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"68","F1100",-36.0575209034884,-8.01028747818002,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"69","F1101",-36.0575256428933,-8.01025090233973,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"70","F1102",-36.0575410227912,-8.01022062790852,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"71","F1103",-36.0575499656783,-8.01019233999774,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"72","F1104",-36.0574039426308,-8.01017508224386,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"73","F1106",-36.0573909213406,-8.01000900096901,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"74","F1108",-36.0575996017184,-8.01003516877111,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"75","F1109",-36.0576159191966,-8.00998406281097,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"76","F1110",-36.0576319896932,-8.0099360618173,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"77","F1111",-36.0576479549285,-8.00988717181019,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"78","F1114",-36.0576745936643,-8.00980550944666,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"79","F1115",-36.0576876629312,-8.00976753434451,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"80","F1116",-36.0577005506551,-8.00973334505231,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
